variant,service_node_count,green_service_node_count,total_cost,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_distance_km,carbon_kg,trip_count,physical_vehicle_usage,trip_usage,policy_conflict_count,is_complete,is_capacity_feasible,late_stop_count,max_late_min,return_after_midnight_count
default_split,148,19,52377.0005422353,19600.0,25250.234624438875,5447.530445922338,2079.2354718740885,13838.152836371886,8380.816070649751,117,"{""E1"": 10, ""E2"": 1, ""F1"": 38}","{""E1"": 35, ""E2"": 1, ""F1"": 81}",0,True,True,27,144.68029918558113,0
green_e2_adaptive,166,37,57484.53650804324,24400.0,26582.811098043843,5709.733929755069,791.9914802443236,16232.928875827653,8784.20604577703,139,"{""E1"": 10, ""E2"": 15, ""F1"": 36}","{""E1"": 41, ""E2"": 25, ""F1"": 73}",0,True,True,18,113.65442241201674,1
