case,total_cost,fixed_cost,energy_cost,carbon_cost,time_window_penalty,carbon_kg,late_stop_count,max_late_min,policy_conflict_count,physical_vehicle_usage
problem1_no_policy_baseline,48644.684957957834,17200.0,25091.786499554742,5419.371451376741,933.5270070263474,8337.4945405796,4,31.595584228607322,not_applicable_for_p1,"E1:10,F1:33"
problem2_green_policy_formal,49239.7828661846,18000.0,24551.89593682962,5301.719178860577,1386.1677504943991,8156.4910444008865,12,129.44182024141378,0,"E1:10,F1:35"
