route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,F1-001,F1,127->133,76->82,480.0,08:00,834.1650037135203,13:54,2749.3837000000003,8.61355,107.62501131519579,400.0,245.07050386718623,53.314910995705674,32.87593245240983,731.2613473153018
2,T0002,F1-002,F1,111,66,480.0,08:00,682.7209402766069,11:23,2791.0139,8.6796,95.9412595017608,400.0,225.54138664416678,49.066365658180075,0.0,674.6077523023469
3,T0003,E1-001,E1,20->37->144,16->35->93,480.0,08:00,882.0845716541821,14:42,1875.4747,4.41163,163.31294493737846,400.0,99.80191231509656,19.81737362525073,31.67325909824448,551.2925450385917
4,T0004,E1-002,E1,40->82,37->56,480.0,08:00,958.2518177683079,15:58,2920.0026333333335,7.729206666666667,161.6030023909068,400.0,104.45953308651822,20.742223749771135,60.058899930056896,585.2606567663462
5,T0005,E1-003,E1,130->136,79->85,480.0,08:00,787.3946028347746,13:07,2908.9603,8.787469999999999,116.11535894605049,400.0,78.78345528538019,15.643800130295158,0.0,494.42725541567535
6,T0028,F1-015,F1,117->145,70->94,480.0,08:00,890.3142813899766,14:50,2846.5115,8.200815,212.8729960144284,400.0,509.174002103439,110.77043616062399,0.0,1019.944438264063
7,T0029,F1-016,F1,118,70,480.0,08:00,900.4201238829876,15:00,2837.3255,8.182865,240.481206424296,400.0,561.8887748394251,122.23849687061895,0.0,1084.127271710044
8,T0009,E1-005,E1,48->146->2,42->95->3,541.0761122960852,09:01,1050.8514212624987,17:31,2458.3018666666667,6.009913333333333,163.3470127172228,400.0,100.98189152589268,20.051678643540825,71.4906830478867,592.5242532173203
9,T0010,E1-006,E1,46->35,42->33,541.0761122960852,09:01,811.4797502010822,13:31,2641.2003666666665,6.388793333333334,127.52201960243892,400.0,81.97751193376105,16.278034610505664,0.0,498.2555465442667
10,T0011,F1-005,F1,47,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,281.46924735329105,61.23343133452576,0.0,742.7026786878168
11,T0015,E1-007,E1,41->39,38->36,543.4986512331809,09:03,1029.8632469516947,17:10,2916.35995,9.22115,139.9558557061306,400.0,92.16404983018546,18.300745626341403,80.30444620082156,590.7692416573484
12,T0025,F1-014,F1,138->128->148->4,87->77->98->5,547.6144862453673,09:08,1350.513396216099,22:31,2905.6583,7.938540000000001,191.46549396694658,400.0,462.20660668477694,100.55271323219219,160.08351402262477,1122.842833939594
13,T0022,F1-011,F1,89,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
14,T0023,F1-012,F1,90,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
15,T0024,F1-013,F1,91,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
16,T0007,E1-004,E1,14,9,559.9747779457219,09:20,706.3464060817935,11:46,2506.7093,6.65072,80.8598259867192,400.0,51.4187369830244,10.210068108854816,0.0,461.62880509187926
17,T0008,F1-004,F1,137->87,86->57,573.7614311940539,09:34,947.9889121327144,15:48,2736.112666666667,8.486756666666667,78.0035579842412,400.0,183.70573381902324,39.96504962208724,72.6307614445615,696.3015448856719
18,T0020,F1-009,F1,55,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
19,T0021,F1-010,F1,56,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
20,T0042,F1-018,F1,34->76,32->54,583.762886451058,09:44,1222.8906369131187,20:23,2915.2203,7.68288,202.1611870628801,400.0,481.14201994623284,104.67209870196922,71.5766708993857,1057.3907895475877
21,T0006,F1-003,F1,139->94,88->60,586.0795681295833,09:46,709.8835984950197,11:50,2556.258,7.0418775,45.5776524614206,400.0,107.95856876505555,23.486308609591028,0.0,531.4448773746466
22,T0012,F1-006,F1,92,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
23,T0013,F1-007,F1,93,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
24,T0014,F1-008,F1,95,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
25,T0016,E1-008,E1,10,8,595.5326058531044,09:56,786.4420776911993,13:06,2937.388405,9.006755,66.0548965441108,400.0,43.173534124044984,8.572842309448323,0.0,451.7463764334933
26,T0017,E1-009,E1,11,8,595.5326058531044,09:56,786.4420776911993,13:06,2937.388405,9.006755,66.0548965441108,400.0,43.173534124044984,8.572842309448323,0.0,451.7463764334933
27,T0018,E1-010,E1,12,8,595.5326058531044,09:56,786.4420776911993,13:06,2937.388405,9.006755,66.0548965441108,400.0,43.173534124044984,8.572842309448323,0.0,451.7463764334933
28,T0043,F1-019,F1,123,74,620.512635389442,10:21,882.4313328610082,14:42,1862.9861,5.46936,131.671756907125,400.0,293.12605190725907,63.76936074048131,0.0,756.8954126477404
29,T0044,F1-020,F1,124,74,620.512635389442,10:21,882.4313328610082,14:42,1862.9861,5.46936,131.671756907125,400.0,293.12605190725907,63.76936074048131,0.0,756.8954126477404
30,T0045,F1-021,F1,122,73,626.039385461931,10:26,901.3956427866566,15:01,2996.466,7.5462,145.4268584882548,400.0,344.8403415587055,75.01976707851708,0.0,819.8601086372225
31,T0050,F1-024,F1,42->140,39->89,656.590934269691,10:57,1135.3632530752932,18:55,2058.6938,5.276885,202.11165186504138,400.0,451.6229780107411,98.25025246329598,27.15335125868493,977.026581732722
32,T0048,F1-022,F1,83,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
33,T0049,F1-023,F1,84,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
34,T0033,F1-006,F1,96,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
35,T0034,F1-007,F1,97,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
36,T0035,F1-008,F1,98,61,674.1425279316762,11:14,897.4225143388865,14:57,2004.6885,6.13507,113.846992569318,0.0,254.83863905894756,55.439961746917305,0.0,310.27860080586487
37,T0027,F1-002,F1,30->147->129,30->97->78,682.7209402766069,11:23,1336.9325979179714,22:17,2234.723,5.49789,127.58629079717947,0.0,282.5138033494709,61.46067373655936,115.8008837337616,459.7753608197918
38,T0019,E1-004,E1,13,8,706.3464060817935,11:46,858.6164298779064,14:19,2937.388405,9.006755,66.0548965441108,0.0,43.290426066012714,8.5960532002421,79.81828926951323,131.70476853576804
39,T0036,F1-003,F1,45,41,709.8835984950197,11:50,914.2402052955051,15:14,2786.4185,7.85191,112.0207333701614,0.0,260.9671582911119,56.77321667659006,0.0,317.74037496770194
40,T0041,F1-017,F1,62,49,711.4410836354723,11:51,824.1496813810555,13:44,2243.418,6.769475,33.455912679079,400.0,78.69245545893624,17.11948681143783,0.0,495.81194227037406
41,T0026,E1-008,E1,17->25,11->27,786.4420776911993,13:06,1223.8881283407438,20:24,2942.33215,8.183015,171.1659153953714,0.0,109.47057344866121,21.73725136802227,118.89448166272284,250.1023064794063
42,T0030,E1-009,E1,5,6,786.4420776911993,13:06,894.6260939697497,14:55,2236.8216,5.991599999999999,81.2762683367306,0.0,50.98489343426576,10.12392106516381,42.94507152539543,104.053886024825
43,T0031,E1-010,E1,6,6,786.4420776911993,13:06,894.6260939697497,14:55,2236.8216,5.991599999999999,81.2762683367306,0.0,50.98489343426576,10.12392106516381,42.94507152539543,104.053886024825
44,T0032,E1-003,E1,19->68,13->52,787.3946028347746,13:07,1075.996225267736,17:56,2778.5495333333333,6.9755866666666675,160.8881918970892,0.0,100.98296650862902,20.05189209971649,45.19822354940867,166.23308215775415
45,T0055,F1-026,F1,88,58,793.7467254643815,13:14,966.0058215203305,16:06,2933.964,9.72773,118.4402027273234,400.0,274.2240542107692,59.6572448027121,0.0,733.8812990134813
46,T0040,F1-005,F1,61,49,796.0884446659403,13:16,852.3878074280514,14:12,2243.418,6.769475,33.455912679079,0.0,73.96442582881157,16.090907382508412,0.0,90.05533321131998
47,T0062,F1-027,F1,69,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
48,T0063,F1-028,F1,70,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
49,T0037,E1-006,E1,7,7,811.4797502010822,13:31,1003.8180066174971,16:44,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,78.94890655301822,15.676653304262434,25.807622215033444,120.4331820723141
50,T0047,F1-017,F1,141->135->22,90->84->24,824.1496813810555,13:44,1142.6148597429558,19:03,2968.0380000000005,7.55055,155.994452650571,0.0,374.6390335449072,81.50245098360986,12.235607302203448,468.3770918307205
51,T0052,F1-001,F1,105,64,834.1650037135203,13:54,988.9183965189048,16:29,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
52,T0053,F1-009,F1,106,64,835.144407454895,13:55,989.8978002602796,16:30,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
53,T0054,F1-010,F1,107,64,835.144407454895,13:55,989.8978002602796,16:30,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
54,T0064,F1-029,F1,38->132,36->81,850.1562578283911,14:10,1195.7613612668824,19:56,2998.23965,8.80191,196.8385188489601,400.0,458.5437541062523,99.75586230099948,0.0,958.2996164072518
55,T0056,F1-005,F1,125->24,75->26,852.3878074280514,14:12,1169.8847385257427,19:30,1554.5335,4.06496,179.5145665506675,0.0,379.74723023593174,82.61373548187869,0.0,462.3609657178104
