angle_rad,x_km,y_km,boundary_type
0.0,10.0,0.0,green_zone_radius_10km
0.017453292519943295,9.998476951563912,0.17452406437283513,green_zone_radius_10km
0.03490658503988659,9.993908270190957,0.3489949670250097,green_zone_radius_10km
0.05235987755982989,9.986295347545738,0.5233595624294384,green_zone_radius_10km
0.06981317007977318,9.975640502598242,0.697564737441253,green_zone_radius_10km
0.08726646259971647,9.961946980917455,0.8715574274765816,green_zone_radius_10km
0.10471975511965978,9.945218953682733,1.0452846326765348,green_zone_radius_10km
0.12217304763960307,9.92546151641322,1.2186934340514748,green_zone_radius_10km
0.13962634015954636,9.902680687415703,1.3917310096006543,green_zone_radius_10km
0.15707963267948966,9.876883405951379,1.5643446504023086,green_zone_radius_10km
0.17453292519943295,9.84807753012208,1.7364817766693033,green_zone_radius_10km
0.19198621771937624,9.81627183447664,1.908089953765448,green_zone_radius_10km
0.20943951023931956,9.781476007338057,2.0791169081775935,green_zone_radius_10km
0.22689280275926285,9.743700647852352,2.24951054343865,green_zone_radius_10km
0.24434609527920614,9.702957262759965,2.4192189559966772,green_zone_radius_10km
0.2617993877991494,9.659258262890683,2.5881904510252074,green_zone_radius_10km
0.2792526803190927,9.612616959383189,2.7563735581699915,green_zone_radius_10km
0.29670597283903605,9.563047559630354,2.9237170472273677,green_zone_radius_10km
0.3141592653589793,9.510565162951535,3.090169943749474,green_zone_radius_10km
0.33161255787892263,9.455185755993169,3.255681544571567,green_zone_radius_10km
0.3490658503988659,9.396926207859085,3.420201433256687,green_zone_radius_10km
0.3665191429188092,9.335804264972017,3.5836794954530027,green_zone_radius_10km
0.3839724354387525,9.271838545667874,3.74606593415912,green_zone_radius_10km
0.4014257279586958,9.205048534524403,3.907311284892738,green_zone_radius_10km
0.4188790204786391,9.135454576426008,4.067366430758002,green_zone_radius_10km
0.4363323129985824,9.063077870366499,4.2261826174069945,green_zone_radius_10km
0.4537856055185257,8.98794046299167,4.383711467890774,green_zone_radius_10km
0.47123889803846897,8.910065241883679,4.5399049973954675,green_zone_radius_10km
0.4886921905584123,8.82947592858927,4.694715627858908,green_zone_radius_10km
0.5061454830783556,8.746197071393958,4.8480962024633705,green_zone_radius_10km
0.5235987755982988,8.660254037844387,4.999999999999999,green_zone_radius_10km
0.5410520681182421,8.571673007021124,5.150380749100542,green_zone_radius_10km
0.5585053606381855,8.48048096156426,5.299192642332049,green_zone_radius_10km
0.5759586531581288,8.386705679454241,5.446390350150271,green_zone_radius_10km
0.5934119456780721,8.290375725550417,5.591929034707469,green_zone_radius_10km
0.6108652381980153,8.191520442889917,5.7357643635104605,green_zone_radius_10km
0.6283185307179586,8.090169943749475,5.877852522924732,green_zone_radius_10km
0.6457718232379019,7.986355100472928,6.018150231520483,green_zone_radius_10km
0.6632251157578453,7.880107536067219,6.156614753256583,green_zone_radius_10km
0.6806784082777885,7.771459614569709,6.293203910498374,green_zone_radius_10km
0.6981317007977318,7.66044443118978,6.4278760968653925,green_zone_radius_10km
0.7155849933176751,7.54709580222772,6.560590289905073,green_zone_radius_10km
0.7330382858376184,7.431448254773942,6.691306063588582,green_zone_radius_10km
0.7504915783575618,7.313537016191704,6.819983600624985,green_zone_radius_10km
0.767944870877505,7.193398003386512,6.9465837045899725,green_zone_radius_10km
0.7853981633974483,7.0710678118654755,7.0710678118654755,green_zone_radius_10km
0.8028514559173916,6.9465837045899725,7.193398003386512,green_zone_radius_10km
0.8203047484373349,6.819983600624985,7.313537016191704,green_zone_radius_10km
0.8377580409572782,6.691306063588582,7.431448254773942,green_zone_radius_10km
0.8552113334772214,6.560590289905073,7.54709580222772,green_zone_radius_10km
0.8726646259971648,6.427876096865393,7.66044443118978,green_zone_radius_10km
0.8901179185171081,6.2932039104983755,7.771459614569709,green_zone_radius_10km
0.9075712110370514,6.156614753256583,7.88010753606722,green_zone_radius_10km
0.9250245035569946,6.018150231520484,7.986355100472928,green_zone_radius_10km
0.9424777960769379,5.877852522924732,8.090169943749475,green_zone_radius_10km
0.9599310885968813,5.7357643635104605,8.191520442889917,green_zone_radius_10km
0.9773843811168246,5.5919290347074675,8.290375725550417,green_zone_radius_10km
0.9948376736367679,5.446390350150271,8.386705679454241,green_zone_radius_10km
1.0122909661567112,5.299192642332049,8.480480961564261,green_zone_radius_10km
1.0297442586766545,5.150380749100542,8.571673007021124,green_zone_radius_10km
1.0471975511965976,5.000000000000001,8.660254037844386,green_zone_radius_10km
1.064650843716541,4.848096202463371,8.746197071393958,green_zone_radius_10km
1.0821041362364843,4.694715627858908,8.829475928589268,green_zone_radius_10km
1.0995574287564276,4.539904997395468,8.910065241883679,green_zone_radius_10km
1.117010721276371,4.383711467890775,8.98794046299167,green_zone_radius_10km
1.1344640137963142,4.2261826174069945,9.063077870366499,green_zone_radius_10km
1.1519173063162575,4.067366430758002,9.135454576426008,green_zone_radius_10km
1.1693705988362009,3.907311284892737,9.205048534524403,green_zone_radius_10km
1.1868238913561442,3.7460659341591196,9.271838545667874,green_zone_radius_10km
1.2042771838760873,3.583679495453004,9.335804264972017,green_zone_radius_10km
1.2217304763960306,3.4202014332566884,9.396926207859083,green_zone_radius_10km
1.239183768915974,3.2556815445715674,9.455185755993167,green_zone_radius_10km
1.2566370614359172,3.0901699437494745,9.510565162951535,green_zone_radius_10km
1.2740903539558606,2.9237170472273677,9.563047559630354,green_zone_radius_10km
1.2915436464758039,2.7563735581699915,9.612616959383189,green_zone_radius_10km
1.3089969389957472,2.5881904510252074,9.659258262890683,green_zone_radius_10km
1.3264502315156905,2.419218955996677,9.702957262759965,green_zone_radius_10km
1.3439035240356338,2.249510543438649,9.743700647852352,green_zone_radius_10km
1.361356816555577,2.0791169081775944,9.781476007338055,green_zone_radius_10km
1.3788101090755203,1.9080899537654492,9.81627183447664,green_zone_radius_10km
1.3962634015954636,1.7364817766693041,9.84807753012208,green_zone_radius_10km
1.413716694115407,1.5643446504023093,9.876883405951379,green_zone_radius_10km
1.4311699866353502,1.3917310096006545,9.902680687415703,green_zone_radius_10km
1.4486232791552935,1.2186934340514748,9.92546151641322,green_zone_radius_10km
1.4660765716752369,1.0452846326765346,9.945218953682733,green_zone_radius_10km
1.4835298641951802,0.8715574274765814,9.961946980917455,green_zone_radius_10km
1.5009831567151235,0.6975647374412524,9.975640502598242,green_zone_radius_10km
1.5184364492350666,0.5233595624294397,9.986295347545738,green_zone_radius_10km
1.53588974175501,0.3489949670250108,9.993908270190957,green_zone_radius_10km
1.5533430342749532,0.174524064372836,9.998476951563912,green_zone_radius_10km
1.5707963267948966,6.123233995736766e-16,10.0,green_zone_radius_10km
1.5882496193148399,-0.17452406437283477,9.998476951563912,green_zone_radius_10km
1.6057029118347832,-0.34899496702500954,9.993908270190957,green_zone_radius_10km
1.6231562043547265,-0.5233595624294384,9.986295347545738,green_zone_radius_10km
1.6406094968746698,-0.6975647374412532,9.975640502598242,green_zone_radius_10km
1.6580627893946132,-0.8715574274765824,9.961946980917455,green_zone_radius_10km
1.6755160819145565,-1.0452846326765355,9.945218953682733,green_zone_radius_10km
1.6929693744344996,-1.2186934340514737,9.925461516413222,green_zone_radius_10km
1.710422666954443,-1.3917310096006537,9.902680687415703,green_zone_radius_10km
1.7278759594743862,-1.5643446504023082,9.876883405951379,green_zone_radius_10km
1.7453292519943295,-1.736481776669303,9.84807753012208,green_zone_radius_10km
1.7627825445142729,-1.908089953765448,9.81627183447664,green_zone_radius_10km
1.7802358370342162,-2.0791169081775935,9.781476007338057,green_zone_radius_10km
1.7976891295541595,-2.2495105434386504,9.743700647852352,green_zone_radius_10km
1.8151424220741028,-2.4192189559966777,9.702957262759965,green_zone_radius_10km
1.8325957145940461,-2.5881904510252083,9.659258262890683,green_zone_radius_10km
1.8500490071139892,-2.7563735581699906,9.612616959383189,green_zone_radius_10km
1.8675022996339325,-2.923717047227367,9.563047559630355,green_zone_radius_10km
1.8849555921538759,-3.0901699437494736,9.510565162951536,green_zone_radius_10km
1.9024088846738192,-3.2556815445715666,9.455185755993169,green_zone_radius_10km
1.9198621771937625,-3.420201433256687,9.396926207859085,green_zone_radius_10km
1.9373154697137058,-3.5836794954530027,9.335804264972017,green_zone_radius_10km
1.9547687622336491,-3.7460659341591205,9.271838545667874,green_zone_radius_10km
1.9722220547535925,-3.9073112848927383,9.205048534524403,green_zone_radius_10km
1.9896753472735358,-4.067366430758002,9.135454576426008,green_zone_radius_10km
2.007128639793479,-4.226182617406994,9.0630778703665,green_zone_radius_10km
2.0245819323134224,-4.383711467890775,8.98794046299167,green_zone_radius_10km
2.0420352248333655,-4.5399049973954675,8.910065241883679,green_zone_radius_10km
2.059488517353309,-4.694715627858909,8.829475928589268,green_zone_radius_10km
2.076941809873252,-4.8480962024633705,8.746197071393958,green_zone_radius_10km
2.0943951023931953,-4.999999999999998,8.660254037844387,green_zone_radius_10km
2.111848394913139,-5.150380749100543,8.571673007021124,green_zone_radius_10km
2.129301687433082,-5.299192642332048,8.480480961564261,green_zone_radius_10km
2.1467549799530254,-5.446390350150271,8.386705679454241,green_zone_radius_10km
2.1642082724729685,-5.591929034707467,8.290375725550417,green_zone_radius_10km
2.181661564992912,-5.735764363510461,8.191520442889917,green_zone_radius_10km
2.199114857512855,-5.87785252292473,8.090169943749475,green_zone_radius_10km
2.2165681500327987,-6.018150231520484,7.986355100472927,green_zone_radius_10km
2.234021442552742,-6.156614753256583,7.88010753606722,green_zone_radius_10km
2.251474735072685,-6.293203910498373,7.77145961456971,green_zone_radius_10km
2.2689280275926285,-6.427876096865393,7.66044443118978,green_zone_radius_10km
2.2863813201125716,-6.560590289905072,7.547095802227721,green_zone_radius_10km
2.303834612632515,-6.691306063588582,7.431448254773942,green_zone_radius_10km
2.321287905152458,-6.819983600624983,7.313537016191706,green_zone_radius_10km
2.3387411976724017,-6.946583704589973,7.193398003386511,green_zone_radius_10km
2.356194490192345,-7.071067811865475,7.0710678118654755,green_zone_radius_10km
2.3736477827122884,-7.193398003386513,6.946583704589972,green_zone_radius_10km
2.3911010752322315,-7.313537016191704,6.819983600624985,green_zone_radius_10km
2.4085543677521746,-7.431448254773941,6.691306063588583,green_zone_radius_10km
2.426007660272118,-7.54709580222772,6.560590289905073,green_zone_radius_10km
2.443460952792061,-7.660444431189779,6.427876096865395,green_zone_radius_10km
2.4609142453120048,-7.771459614569709,6.293203910498374,green_zone_radius_10km
2.478367537831948,-7.880107536067219,6.156614753256584,green_zone_radius_10km
2.4958208303518914,-7.986355100472929,6.018150231520481,green_zone_radius_10km
2.5132741228718345,-8.090169943749473,5.877852522924733,green_zone_radius_10km
2.530727415391778,-8.191520442889919,5.73576436351046,green_zone_radius_10km
2.548180707911721,-8.290375725550415,5.591929034707469,green_zone_radius_10km
2.5656340004316642,-8.38670567945424,5.446390350150273,green_zone_radius_10km
2.5830872929516078,-8.48048096156426,5.299192642332049,green_zone_radius_10km
2.600540585471551,-8.571673007021122,5.1503807491005436,green_zone_radius_10km
2.6179938779914944,-8.660254037844387,4.999999999999999,green_zone_radius_10km
2.6354471705114375,-8.746197071393958,4.848096202463371,green_zone_radius_10km
2.652900463031381,-8.82947592858927,4.694715627858907,green_zone_radius_10km
2.670353755551324,-8.910065241883679,4.539904997395468,green_zone_radius_10km
2.6878070480712677,-8.98794046299167,4.383711467890773,green_zone_radius_10km
2.705260340591211,-9.063077870366499,4.2261826174069945,green_zone_radius_10km
2.722713633111154,-9.135454576426007,4.067366430758004,green_zone_radius_10km
2.7401669256310974,-9.205048534524403,3.907311284892738,green_zone_radius_10km
