route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
5,T0005,E1-005,E1,37,35,569.0,652.0,662.1776573744529,10.177657374452906,553.5505177088818,872.3265284097627,1,666.6262132769559,14.626213276955923,662.1776573744529,10.177657374452906,1,False,Type A direct-infeasible
33,T0033,E1-002,E1,19,13,730.0,786.0,804.3532103835772,18.35321038357722,682.7209402766069,1075.996225267736,2,574.3293173312827,0.0,730.0000000000003,0.0,1,True,Type B multi-trip cascade
79,T0079,F1-012,F1,4,5,1168.0,1226.0,1257.5955842286073,31.595584228607322,966.0058215203305,1350.513396216099,3,576.0450369684846,0.0,1257.5955842286073,31.595584228607322,1,True,Type C route-order/local-optimum
116,T0116,E1-007,E1,65,50,1209.0,1258.0,1275.2897733573434,17.289773357343392,1155.813090000955,1414.7664567137317,3,609.1377003055409,0.0,1209.0000000000005,0.0,3,False,Type B multi-trip cascade
