iterations,seed,runtime_seconds,total_cost,search_score,late_stop_count,total_late_min,max_late_min,return_after_midnight_count,return_after_17_count,fixed_cost,energy_cost,carbon_cost,penalty_cost,route_count,physical_vehicle_count,vehicle_physical_usage,complete,capacity_feasible
2,20260424,20.495200899997144,49935.9139335393,1059204.2454283254,13,612.2590801953816,107.00905182384031,1,71,18800.0,24974.50002861848,5383.4957780787,777.9181268421141,118,47,"{'E1': 10, 'F1': 37}",True,True
2,20260425,20.47342419999768,52293.376724638576,63813.73447427759,16,966.6520128247852,119.21321710177881,0,73,19600.0,26227.246132716966,5660.587247900956,805.5433440206543,118,49,"{'E1': 10, 'E2': 1, 'F1': 38}",True,True
