route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
46,T0046,E1-005,E1,1,134,83,828.0,883.0,882.1711392191627,14:42,0.0,0.0,882.1711392191627,902.1711392191627,15:02,1442.5536000000002,515.7127000000002,0.0
46,T0046,E1-005,E1,2,131,80,1061.0,1114.0,974.8509659051997,16:15,86.1490340948003,0.0,1061.0,1081.0,18:01,515.7127000000002,9.372200000000078,28.716344698266766
46,T0046,E1-005,E1,3,21,19,1155.0,1228.0,1196.2175121549149,19:56,0.0,0.0,1196.2175121549149,1216.2175121549149,20:16,9.372200000000078,7.815970093361102e-14,0.0
47,T0047,F1-021,F1,1,141,90,830.0,909.0,890.6574794466169,14:51,0.0,0.0,890.6574794466169,910.6574794466169,15:11,2968.0380000000005,2867.4292000000005,0.0
47,T0047,F1-021,F1,2,135,84,974.0,1029.0,927.5058003742338,15:28,46.494199625766214,0.0,974.0,994.0,16:34,2867.4292000000005,1262.1673000000003,15.498066541922071
47,T0047,F1-021,F1,3,22,24,1011.0,1096.0,1042.7991309219287,17:23,0.0,0.0,1042.7991309219287,1062.7991309219287,17:43,1262.1673000000003,2.2737367544323206e-13,0.0
48,T0048,F1-029,F1,1,82,56,830.0,909.0,830.0000000000001,13:50,0.0,0.0,830.0000000000001,850.0000000000001,14:10,2828.4534333333336,473.39980000000014,0.0
48,T0048,F1-029,F1,2,146,95,865.0,934.0,909.4952475846206,15:09,0.0,0.0,909.4952475846206,929.4952475846206,15:29,473.39980000000014,364.0498000000001,0.0
48,T0048,F1-029,F1,3,36,34,1135.0,1208.0,974.1514338049583,16:14,160.8485661950417,0.0,1135.0,1155.0,19:15,364.0498000000001,1.1368683772161603e-13,53.616188731680566
49,T0049,F1-009,F1,1,84,56,830.0,909.0,873.731668088995,14:34,0.0,0.0,873.731668088995,893.731668088995,14:54,2355.0536333333334,0.0,0.0
50,T0050,F1-003,F1,1,42,39,848.0,900.0,896.4937543465244,14:56,0.0,0.0,896.4937543465244,916.4937543465244,15:16,2012.4458,0.0,0.0
51,T0051,F1-010,F1,1,43,39,848.0,900.0,891.7780799851041,14:52,0.0,0.0,891.7780799851041,911.7780799851041,15:12,2058.6938,46.24800000000005,0.0
51,T0051,F1-010,F1,2,140,89,971.0,1033.0,945.4266400468038,15:45,25.573359953196245,0.0,971.0,991.0,16:31,46.24800000000005,4.973799150320701e-14,8.524453317732082
52,T0052,E1-009,E1,1,105,64,849.0,905.0,886.7589409275292,14:47,0.0,0.0,886.7589409275292,906.7589409275292,15:07,2949.9224,0.0,0.0
53,T0053,F1-002,F1,1,106,64,849.0,905.0,849.0,14:09,0.0,0.0,849.0,869.0,14:29,2949.9224,0.0,0.0
54,T0054,F1-011,F1,1,107,64,849.0,905.0,849.0,14:09,0.0,0.0,849.0,869.0,14:29,2949.9224,0.0,0.0
55,T0055,F1-012,F1,1,88,58,858.0,923.0,858.0,14:18,0.0,0.0,858.0,878.0,14:38,2933.964,0.0,0.0
56,T0056,F1-022,F1,1,125,75,865.0,945.0,888.8129584931767,14:49,0.0,0.0,888.8129584931767,908.8129584931767,15:09,1508.7203,0.0,0.0
57,T0057,F1-013,F1,1,126,75,865.0,945.0,914.7388216617638,15:15,0.0,0.0,914.7388216617638,934.7388216617638,15:35,1508.7203,0.0,0.0
58,T0058,F1-014,F1,1,2,3,873.0,921.0,916.3692924264598,15:16,0.0,0.0,916.3692924264598,936.3692924264598,15:36,2707.9042,2472.8860999999997,0.0
58,T0058,F1-014,F1,2,75,54,1040.0,1124.0,987.1541452143289,16:27,52.84585478567112,0.0,1040.0,1060.0,17:40,2472.8860999999997,0.0,17.61528492855704
59,T0059,E1-010,E1,1,85,57,878.0,959.0,900.7888813595843,15:01,0.0,0.0,900.7888813595843,920.7888813595843,15:21,2203.217666666667,0.0,0.0
60,T0060,E1-006,E1,1,86,57,878.0,959.0,891.8827966873104,14:52,0.0,0.0,891.8827966873104,911.8827966873104,15:12,2203.217666666667,0.0,0.0
61,T0061,F1-001,F1,1,87,57,878.0,959.0,885.1076535310909,14:45,0.0,0.0,885.1076535310909,905.1076535310909,15:05,2203.217666666667,0.0,0.0
62,T0062,E1-008,E1,1,143,92,887.0,967.0,942.894433719325,15:43,0.0,0.0,942.894433719325,962.894433719325,16:03,1524.5124999999998,0.0,0.0
63,T0063,F1-020,F1,1,18,12,895.0,950.0,943.5583300492119,15:44,0.0,0.0,943.5583300492119,963.5583300492119,16:04,2600.7866000000004,873.9450000000002,0.0
63,T0063,F1-020,F1,2,29,29,1058.0,1143.0,1046.5640434706036,17:27,11.435956529396435,0.0,1058.0,1078.0,17:58,873.9450000000002,2.2737367544323206e-13,3.8119855097988116
64,T0064,F1-024,F1,1,70,52,905.0,992.0,970.5290960041715,16:11,0.0,0.0,970.5290960041715,990.5290960041715,16:31,2238.4627333333333,0.0,0.0
65,T0065,F1-025,F1,1,38,36,916.0,981.0,916.0,15:16,0.0,0.0,916.0,936.0,15:36,2998.23965,1343.6123,0.0
65,T0065,F1-025,F1,2,132,81,1024.0,1088.0,1079.5041444179176,18:00,0.0,0.0,1079.5041444179176,1099.5041444179176,18:20,1343.6123,0.0,0.0
66,T0066,F1-015,F1,1,53,45,937.0,996.0,937.0,15:37,0.0,0.0,937.0,957.0,15:57,2899.9628,0.0,0.0
67,T0067,F1-016,F1,1,54,45,937.0,996.0,937.0,15:37,0.0,0.0,937.0,957.0,15:57,2899.9628,0.0,0.0
68,T0068,F1-004,F1,1,24,26,950.0,1032.0,1029.7665995465882,17:10,0.0,0.0,1029.7665995465882,1049.7665995465882,17:30,2518.6993,2472.8861,0.0
68,T0068,F1-004,F1,2,76,54,1040.0,1124.0,1059.2039318476127,17:39,0.0,0.0,1059.2039318476127,1079.2039318476127,17:59,2472.8861,0.0,0.0
69,T0069,F1-017,F1,1,102,63,952.0,1034.0,952.0000000000001,15:52,0.0,0.0,952.0000000000001,972.0000000000001,16:12,2897.6633333333334,0.0,0.0
70,T0070,F1-026,F1,1,103,63,952.0,1034.0,952.5210422261467,15:53,0.0,0.0,952.5210422261467,972.5210422261467,16:13,2897.6633333333334,0.0,0.0
71,T0071,F1-027,F1,1,104,63,952.0,1034.0,952.5210422261467,15:53,0.0,0.0,952.5210422261467,972.5210422261467,16:13,2897.6633333333334,0.0,0.0
72,T0072,E1-004,E1,1,108,65,957.0,1043.0,1031.874307467827,17:12,0.0,0.0,1031.874307467827,1051.874307467827,17:32,2184.1955666666668,0.0,0.0
73,T0073,E1-006,E1,1,109,65,957.0,1043.0,1036.6184923048545,17:17,0.0,0.0,1036.6184923048545,1056.6184923048545,17:37,2184.1955666666668,0.0,0.0
74,T0074,F1-005,F1,1,110,65,957.0,1043.0,969.5960784831468,16:10,0.0,0.0,969.5960784831468,989.5960784831468,16:30,2184.1955666666668,0.0,0.0
75,T0075,E1-010,E1,1,58,48,966.0,1048.0,1032.5439046954712,17:13,0.0,0.0,1032.5439046954712,1052.5439046954712,17:33,2866.2425333333335,0.0,0.0
